"","sexo","I(cae_general == ""Ocupado"" | cae_general == ""Desocupado"" | cae_general == ""Busca Trabajo Primera Vez"")/I(edad >= 15)","se.I(cae_general == ""Ocupado"" | cae_general == ""Desocupado"" | cae_general == ""Busca Trabajo Primera Vez"")/I(edad >= 15)"
"1","1",0.689909691231698,0.0134169297440965
"2","2",0.401851322621916,0.0147888557069413
"11","1",0.681362667819746,0.0136028590968642
"21","2",0.383012383490029,0.014490280944788
"12","1",0.670631498793038,0.0123304689924941
"22","2",0.395194735686025,0.0139799066586272
"13","1",0.674864706395227,0.0108525869139877
"23","2",0.421073411560216,0.0114661714173326
"14","1",0.679916235392662,0.0104750527787012
"24","2",0.442851887016818,0.0111974375861609
"15","1",0.675531853123131,0.0108726315049551
"25","2",0.445092622361246,0.0109004353038364
"16","1",0.689158234821246,0.0105266843793404
"26","2",0.452392459336163,0.0130131450060124
"17","1",0.696921390510713,0.0101923465696737
"27","2",0.455466515971854,0.0126987138406695
"18","1",0.700423962901363,0.00986482208286479
"28","2",0.459914924481222,0.0129886050071513
"19","1",0.689595420842275,0.00991370435851237
"29","2",0.464808706195781,0.011482899528296
"110","1",0.683123854377956,0.00998315605521694
"210","2",0.465130045430424,0.0117343747457275
"111","1",0.687170316557501,0.0111279776938667
"211","2",0.446846052225452,0.0118803554586494
"112","1",0.693465561727568,0.0116091056261698
"212","2",0.439882708014239,0.011870089803886
"113","1",0.68670504739768,0.0116848324327071
"213","2",0.446882344062164,0.0115298141166039
"114","1",0.678389825889306,0.0106265594813779
"214","2",0.456908079144843,0.0110819860746566
"115","1",0.689329730439271,0.0111240887348653
"215","2",0.469044518167786,0.0108320459595978
"116","1",0.698702883521859,0.0110460398521897
"216","2",0.45866414259936,0.0107731076559986
"117","1",0.694820526298768,0.0111161468102584
"217","2",0.456917414673668,0.0107259428938512
"118","1",0.683217518066378,0.0109644991240264
"218","2",0.447236390390818,0.0101264493377034
"119","1",0.669891712922125,0.0121504873519446
"219","2",0.454287642898072,0.0106358354014659
"120","1",0.657038412485812,0.0123401411839445
"220","2",0.456056192274327,0.0107911549272921
"121","1",0.654691197651248,0.0134640550583101
"221","2",0.463102243255627,0.0118443328752981
"122","1",0.672317761448115,0.0123306159194995
"222","2",0.472354350631436,0.0116495374165911
"123","1",0.683009367284365,0.0122108052035057
"223","2",0.470191099274541,0.0115577039690202
"124","1",0.68832559496901,0.010747899519245
"224","2",0.469647561525624,0.0111839436748801
"125","1",0.674190664202217,0.0111817799238571
"225","2",0.460443442614183,0.0106885797536675
"126","1",0.675243498029161,0.0139942853511324
"226","2",0.46659299155403,0.00996531428458553
"127","1",0.672013278661731,0.0135012561266431
"227","2",0.462998985685207,0.00998951534619222
"128","1",0.679842576162884,0.0132552294672243
"228","2",0.462020236720674,0.0102883718419747
"129","1",0.673827973209711,0.0117831751802191
"229","2",0.460372736933179,0.010693180780352
"130","1",0.686678300829359,0.0118091130716528
"230","2",0.458365882353107,0.00986300935020845
"131","1",0.685769087900058,0.0119596364972355
"231","2",0.466889550708995,0.00981324260592414
"132","1",0.691354058093011,0.0112973153782333
"232","2",0.456069631973578,0.0104448504763568
"133","1",0.669766739969459,0.0124108431188507
"233","2",0.444675752630409,0.0119102890581464
"134","1",0.668388820569033,0.0121395146309249
"234","2",0.443576342319184,0.0125296896042404
"135","1",0.667384364501313,0.0123288472814195
"235","2",0.44497064292468,0.0119825650778072
"136","1",0.681685422903159,0.0116122794805962
"236","2",0.455697574253424,0.0111288044857866
"137","1",0.679568859407441,0.0114056753014436
"237","2",0.454820623119214,0.0102093234230719
"138","1",0.684948328386766,0.0114642459262778
"238","2",0.461225866668779,0.0107824772981984
"139","1",0.669357632276694,0.0123497103008015
"239","2",0.447259379044929,0.0114981544217137
"140","1",0.655189172189766,0.0126216175447528
"240","2",0.436733865998616,0.0111115295423091
"141","1",0.655988338550458,0.0126985959583617
"241","2",0.428021583662214,0.0107598126425601
"142","1",0.659823219633644,0.0120980936352535
"242","2",0.430101778247185,0.0113465910576007
"143","1",0.655451095749988,0.0119662960934501
"243","2",0.433024295929961,0.0114834030846712
"144","1",0.650816464621894,0.0114233190795078
"244","2",0.435902998766319,0.0110487745633253
"145","1",0.647212181518695,0.0120586417970685
"245","2",0.437387299408498,0.0107354702404407
"146","1",0.652233216188661,0.012270253894752
"246","2",0.433115773403016,0.0108857340002437
"147","1",0.651779802168509,0.0127431228123959
"247","2",0.421656310159663,0.0111804770469172
"148","1",0.65020335800662,0.0120227518379403
"248","2",0.426235820435361,0.0107239519886166
"149","1",0.65533193417661,0.0121817531674526
"249","2",0.430936034947242,0.0111292316284535
"150","1",0.6617219465011,0.0119503213745732
"250","2",0.438546262749035,0.0111201719345935
"151","1",0.651017267000214,0.0121594880360881
"251","2",0.42834158869516,0.0114698015050534
"152","1",0.644076313380176,0.0119223707391462
"252","2",0.424912059077367,0.011076044399354
"153","1",0.635036908077758,0.0116722999621088
"253","2",0.421563887286778,0.0106979308957508
"154","1",0.639450697690411,0.0123679833257105
"254","2",0.432046520096081,0.0104052892199713
"155","1",0.648354322220795,0.0123503735953937
"255","2",0.437470963196403,0.0109806335466833
"156","1",0.647638035717792,0.0124072733452334
"256","2",0.435566642420675,0.012100317726763
"157","1",0.663510554720357,0.0117640816815415
"257","2",0.435837382155949,0.0122728291237273
"158","1",0.658111152366956,0.0119009243527139
"258","2",0.422822542238892,0.0117104396534112
"159","1",0.652779174227076,0.0117743102756476
"259","2",0.432654522197463,0.0109512129338009
"160","1",0.655994797513379,0.0110913559833718
"260","2",0.429397024823641,0.0106456834449665
"161","1",0.65935512178394,0.0109982699576059
"261","2",0.441529280992617,0.0119351598633385
"162","1",0.660837338764672,0.0107371208373358
"262","2",0.448848872461434,0.0119546000996636
"163","1",0.65678256050244,0.0112005393889243
"263","2",0.45090023599648,0.0121074823367903
"164","1",0.656146066518564,0.0106659838796691
"264","2",0.446894141561854,0.011292319110027
"165","1",0.653988656807565,0.0109997889306208
"265","2",0.453302142688534,0.0116766761673202
"166","1",0.650400859726388,0.0111885819046935
"266","2",0.464398754680568,0.0113933990879514
"167","1",0.646554760116258,0.0118520164827284
"267","2",0.452099644776033,0.0118292390131846
"168","1",0.650358115706952,0.0115789815538932
"268","2",0.447216444327385,0.0116554362020706
"169","1",0.650809731653739,0.0106374439080036
"269","2",0.444726263460737,0.0119477743391074
"170","1",0.652898868775672,0.0107049419581654
"270","2",0.446971953612151,0.0113905182481979
"171","1",0.65131066776608,0.0110596916655112
"271","2",0.442702301962852,0.0112759746049211
"172","1",0.654670825391552,0.0109849105847821
"272","2",0.439579713320872,0.0110614979662344
"173","1",0.665383784939941,0.0112589788456981
"273","2",0.43784586283695,0.0108487152682701
"174","1",0.661333614226625,0.0120276496205252
"274","2",0.440141658754843,0.0108206457302172
"175","1",0.667827500642969,0.012162380521717
"275","2",0.446233910744767,0.0116543232788245
"176","1",0.665971832611202,0.012371441405497
"276","2",0.44977492716547,0.011604604833978
"177","1",0.662086893916962,0.0128752948767578
"277","2",0.441185746653931,0.0125891625924895
"178","1",0.653705390613945,0.0124127589743768
"278","2",0.438431580762753,0.0122284961687945
"179","1",0.652005299488678,0.0119376295617567
"279","2",0.442126116623244,0.0128387428082168
"180","1",0.652718051748991,0.0121893943452977
"280","2",0.44011970682133,0.0123247118854503
"181","1",0.6420692667698,0.0126731313934508
"281","2",0.428476384241926,0.0118204643701248
"182","1",0.645524807324061,0.0133290951187218
"282","2",0.426501910637768,0.0116661548018765
"183","1",0.64099322088302,0.0130854107976153
"283","2",0.42325989741178,0.0116105500262526
"184","1",0.655036735494693,0.0130269870033521
"284","2",0.423762185192003,0.0117421788558438
"185","1",0.65804798342611,0.0127536806202315
"285","2",0.426212619150446,0.0115019425634326
"186","1",0.666438463663688,0.0121947923476643
"286","2",0.436846411826617,0.011207543289102
"187","1",0.663874849706908,0.0130918642047648
"287","2",0.446213451413897,0.0113968579892276
"188","1",0.65943614732322,0.0132696432252588
"288","2",0.447273333497268,0.0121877205868611
"189","1",0.662711814126798,0.0122094148442458
"289","2",0.448264331790225,0.012354566024506
"190","1",0.663150087681581,0.0118055419733554
"290","2",0.45045283814728,0.0123801745736743
