"","fuerza","std_error_fuerza","tasa","std_error_tasa"
"1",190751.27701253,18181.0320821367,0.529839638162591,0.023046668434757
"2",191126.54495076,13030.3699970304,0.52625265692003,0.0134666236308427
"3",198984.63491209,15758.7907147566,0.547325694694416,0.0181119568285582
"4",205256.65132536,16268.7403543145,0.564003460370004,0.0181823807384405
"5",200778.42641403,14715.1864049594,0.551136364399404,0.0206044294809797
"6",201830.04764903,14073.1935239296,0.553456387244478,0.0190895251121316
"7",204963.25442605,13471.8486183247,0.561484706869595,0.0184455466838909
"8",207708.99450419,14304.9995005697,0.568433453485542,0.0168635759180933
"9",207994.41991737,14164.0588851211,0.568638784166746,0.016943880473239
"10",202597.14207608,14373.1984708944,0.5533082677224,0.0157193912101741
"11",204533.28737427,14714.5277795251,0.558001689757558,0.0153338526941624
"12",179875.82666401,16554.1655142829,0.499162844039864,0.0178834472774768
"13",205317.17594785,14263.0745237353,0.559552547885104,0.0143021710555181
"14",206898.19663529,14750.3201627018,0.563279509502653,0.0146888242350378
"15",205196.61537453,16154.5945995124,0.558062022530559,0.0147886426588372
"16",211201.37287855,16641.586199092,0.573788918987514,0.0149801607212607
"17",213940.44980234,16442.22495312,0.580626246190504,0.0152956785192447
"18",218105.40825143,14710.4122520796,0.591316747190373,0.0161081763010353
"19",216435.26255305,14490.4732050587,0.586176882158697,0.0167023394053289
"20",213269.64197588,14809.237257507,0.577003273603315,0.0181156876404296
"21",212152.60202815,11894.9787276569,0.573386960580528,0.0187886288170971
"22",209993.75614301,11572.8793361199,0.566962277375253,0.018436926707743
"23",180270.03010377,16612.4640077489,0.499794919996728,0.0193495696406634
"24",210069.50431996,11320.1295862651,0.566559517127268,0.0170511973278338
"25",213644.5646798,11168.9800649212,0.575580551482012,0.0161890138288587
"26",218447.48999593,11837.6591168266,0.587888178479482,0.0153897932008085
"27",220091.60931813,11890.9122704914,0.591698194028793,0.0155385721454433
"28",219037.38057962,12001.6020465581,0.58822352308841,0.0163124290741384
"29",225320.94481465,12548.190806873,0.604450316891097,0.0161846857974293
"30",223951.08255533,12387.411178293,0.600136355403371,0.0162781497059175
"31",223698.50996,12612.0441866753,0.598819249782489,0.0164492222098197
"32",218625.69603974,11218.5330258972,0.58462164709064,0.0144383577895414
"33",217042.08717525,11011.4776834881,0.579771467781648,0.013801065164364
"34",187424.52867632,14002.1825440867,0.519158510081802,0.0159133128013096
"35",212113.17385612,11151.5700290958,0.566003409835439,0.0140005813330933
"36",207319.61797691,10623.0395841632,0.552616531551455,0.0142792704278292
"37",208772.89138385,10808.3579991686,0.555888689028841,0.0143460818966626
"38",210052.02678849,10980.2590255387,0.558672780726282,0.013965106059311
"39",209136.45160388,11050.9081151012,0.555636164530685,0.0137508996874962
"40",209424.52720715,10892.3393834977,0.555784302410166,0.0134292531859272
"41",212643.49794159,10435.6353679578,0.563716635096124,0.0130393698126226
"42",214680.39015985,10010.2853043152,0.568498518802759,0.0134326166757063
"43",214183.14138803,10630.9307861363,0.56655312154543,0.0143036401507899
"44",215090.53814608,11510.5385377675,0.568341480041146,0.0149505313175632
"45",187282.57205865,13426.7280473867,0.518297269785355,0.0149891936251075
"46",215249.098719,11311.1677249883,0.568132949523747,0.0128616583260217
"47",217697.23553015,12985.2078365273,0.573973480163301,0.0108744482066857
"48",213970.89795105,12825.4493756163,0.563539557037346,0.0112722972601174
"49",210032.10717802,12717.4381670219,0.552559028429396,0.0136924941937451
"50",208166.99472446,12389.8169891396,0.547040584454976,0.014392630877849
"51",209256.0661162,12344.8070559665,0.549293397163222,0.0143802383086785
"52",211673.28977452,12417.6787507653,0.555013555299844,0.0128814800307827
"53",215396.41541679,13349.2314355467,0.56413669258658,0.0130490697825099
"54",222635.95358919,13493.390368069,0.582453742404962,0.0121874540162278
"55",225577.89270499,16880.5590837479,0.589488753157724,0.0144929667125054
"56",191776.42645339,12611.2983817427,0.530195340601077,0.0144534012785031
"57",227048.41365596,16526.601178282,0.592676430227625,0.0146901332104801
"58",220623.39381138,16448.4232193649,0.575254662200782,0.0156676508182774
"59",220510.76863546,15660.9488985436,0.574324566439449,0.013493819857629
"60",218939.33357995,16076.8464433364,0.569593820613864,0.0144209040159728
"61",218520.83625109,15287.4463414372,0.567872736524775,0.0136584145592573
"62",214246.82620507,14682.5404538644,0.5561501282472,0.0130803469196999
"63",209619.89620917,14635.3284414248,0.543534078398322,0.0132943891614192
"64",212701.49996793,15153.5628583596,0.550888874992611,0.0133770262165942
"65",212691.89072826,14293.336011552,0.55023979347391,0.0150335593577495
"66",216030.4016817,14962.3442951529,0.558246942172336,0.0177466308833476
"67",191139.80989488,10856.7723451136,0.527893862944876,0.0181068309160741
"68",218393.9846805,15150.0295494246,0.563709394331998,0.0182318838123883
"69",227418.57375165,16278.2620395797,0.586331329429349,0.0167237489424043
"70",227557.53151234,14797.5092508568,0.586027817083322,0.0136519685944293
"71",228542.73026928,14646.9073349766,0.587892779839049,0.0130943333206588
"72",227893.56418486,13481.3847300684,0.585543587319935,0.0128543936239
"73",232652.1629908,14543.8866614782,0.597095172442499,0.0130899296889136
"74",231739.15653614,14746.0958924857,0.594059781836933,0.0140436868170578
"75",230954.63369437,15327.3494195778,0.591363459603915,0.0133922284178166
"76",226231.43335616,15130.6930885227,0.578608854801321,0.0138312021725588
"77",228804.18034249,14599.5006020168,0.584514681173955,0.0133059572023462
"78",188761.33651431,10172.0959781598,0.520792761799925,0.0181064948318547
"79",226978.92390141,14691.533138472,0.579177093846019,0.0136029171820063
"80",230216.35102632,14945.4435546064,0.586753741567014,0.0137107328867115
"81",232553.44827589,15754.8159218906,0.592023767857469,0.0140478488517614
"82",237354.91296397,15320.6122565475,0.603551082641871,0.0167837043671003
"83",241179.37791687,14247.2736625427,0.612554836007511,0.0154057759617938
"84",233981.86710067,13747.9465267458,0.593594434750327,0.0169477862266154
"85",231012.35380716,12865.5498225905,0.585366008543039,0.0153185920318671
"86",227443.68999398,11075.8121101708,0.575647960420124,0.0144969356064938
"87",227539.44495256,11410.7711335852,0.575213348078129,0.0131367579407348
"88",221729.94012322,9974.08190609812,0.55987319365667,0.0126075336529473
"89",187474.61267668,9551.89942275856,0.516712362195709,0.0176357880425905
