etiqueta,codigo
Miembros del poder ejecutivo y de los cuerpos legislativos,1110
Personal directivo de la administración pública,1120
Jefes de pequeñas poblaciones,1130
Dirigentes y administradores de partidos políticos,1141
"Dirigentes y administradores de organizaciones de empleadores, de trabajadores y de otras de interés socioeconómico",1142
Dirigentes y administradores de organizaciones humanitarias y de otras organizaciones  especializadas,1143
Directores generales y gerentes generales de empresa,1210
"Directores de departamentos de producción y operaciones, agricultura, caza, silvicultura y pesca",1221
"Directores de departamentos de producción y operaciones, agricultura, caza, silvicultura y pesca",1221
"Directores de departamentos de producción y operaciones, industrias manufactureras",1222
"Directores de departamentos de producción y operaciones, industrias manufactureras",1222
"Directores de departamentos de producción y operaciones, construcción y obras públicas",1223
"Directores de departamentos de producción y operaciones, construcción y obras públicas",1223
"Directores de departamentos de producción y operaciones, comercio mayoristas y minoristas",1224
"Directores de departamentos de producción y operaciones, restauración y hostelería",1225
"Directores de departamentos de producción y operaciones, restauración y hostelería",1225
"Directores de departamentos de producción y operaciones, transporte, almacenamiento y comunicaciones",1226
"Directores de departamentos de producción y operaciones, transporte, almacenamiento y comunicaciones",1226
"Directores de departamentos de producción y operaciones, empresas de intermediación y servicios a empresas",1227
"Directores de departamentos de producción y operaciones, empresas de intermediación y servicios a empresas",1227
"Directores de departamentos de producción y operaciones, servicios de cuidados personales, limpieza y servicios similares",1228
"Directores de departamentos de producción y operaciones, no clasificados bajo otros epígrafes",1229
"Directores de departamentos de producción y operaciones, no clasificados bajo otros epígrafes",1229
"Directores de departamentos de producción y operaciones, no clasificados bajo otros epígrafes",1229
"Directores de departamentos de producción y operaciones, no clasificados bajo otros epígrafes",1229
"Directores de departamentos de producción y operaciones, no clasificados bajo otros epígrafes",1229
"Directores de departamentos de producción y operaciones, no clasificados bajo otros epígrafes",1229
"Directores de departamentos de producción y operaciones, no clasificados bajo otros epígrafes",1229
"Directores de departamentos de producción y operaciones, no clasificados bajo otros epígrafes",1229
"Directores de departamentos de producción y operaciones, no clasificados bajo otros epígrafes",1229
"Directores de departamentos de producción y operaciones, no clasificados bajo otros epígrafes",1229
Directores de departamentos financieros y administrativos,1231
Directores de departamentos financieros y administrativos,1231
Directores de departamentos de personal y de relaciones laborales,1232
Directores de departamentos de ventas y comercialización,1233
Directores de departamentos de publicidad y de relaciones públicas,1234
Directores de departamentos de abastecimiento y distribución,1235
Directores de departamentos de servicios de informática,1236
Directores de departamentos de investigaciones y desarrollo,1237
"Otros directores de departamentos, no clasificados bajo otros epígrafes",1239
"Gerentes de empresas de agricultura, caza, silvicultura y pesca",1311
"Gerentes de empresas de agricultura, caza, silvicultura y pesca",1311
"Gerentes de empresas de agricultura, caza, silvicultura y pesca",1311
"Gerentes de empresas de agricultura, caza, silvicultura y pesca",1311
"Gerentes de empresas de agricultura, caza, silvicultura y pesca",1311
"Gerentes de empresas de agricultura, caza, silvicultura y pesca",1311
"Gerentes de empresas de agricultura, caza, silvicultura y pesca",1311
Gerentes de industrias manufactureras,1312
Gerentes de industrias manufactureras,1312
Gerentes de empresas de construcción y obras públicas,1313
Gerentes de comercios mayoristas y minoristas,1314
Gerentes de comercios mayoristas y minoristas,1314
Gerentes de empresas de restauración y hostelería,1315
Gerentes de empresas de restauración y hostelería,1315
"Gerentes de empresas de transporte, almacenamiento y comunicaciones",1316
"Gerentes de empresas de transporte, almacenamiento y comunicaciones",1316
Gerentes de empresas de intermediación y servicios a empresas,1317
Gerentes de empresas de intermediación y servicios a empresas,1317
Gerentes de empresas de intermediación y servicios a empresas,1317
Gerentes de empresas de intermediación y servicios a empresas,1317
Gerentes de empresas de intermediación y servicios a empresas,1317
Gerentes de empresas de intermediación y servicios a empresas,1317
Gerentes de empresas de intermediación y servicios a empresas,1317
"Gerentes de empresas de servicios de cuidados personales, limpieza y servicios similares",1318
"Gerentes de empresas, no clasificados bajo otros epígrafes",1319
"Gerentes de empresas, no clasificados bajo otros epígrafes",1319
"Gerentes de empresas, no clasificados bajo otros epígrafes",1319
"Gerentes de empresas, no clasificados bajo otros epígrafes",1319
"Gerentes de empresas, no clasificados bajo otros epígrafes",1319
"Gerentes de empresas, no clasificados bajo otros epígrafes",1319
"Gerentes de empresas, no clasificados bajo otros epígrafes",1319
"Gerentes de empresas, no clasificados bajo otros epígrafes",1319
"Gerentes de empresas, no clasificados bajo otros epígrafes",1319
Físicios y astrónomos,2111
Meteorólogos,2112
Químicos,2113
Químicos,2113
Geólogos y geofísicos,2114
Matemáticos y afines,2121
Estadísticos,2122
Creadores y analistas de sistemas informáticos,2131
Creadores y analistas de sistemas informáticos,2131
Creadores y analistas de sistemas informáticos,2131
Creadores y analistas de sistemas informáticos,2131
Creadores y analistas de sistemas informáticos,2131
Creadores y analistas de sistemas informáticos,2131
Creadores y analistas de sistemas informáticos,2131
Creadores y analistas de sistemas informáticos,2131
Programadores informáticos,2132
Programadores informáticos,2132
Programadores informáticos,2132
Programadores informáticos,2132
"Profesionales de la informática, no clasificados bajos otros epígrafes",2139
"Profesionales de la informática, no clasificados bajos otros epígrafes",2139
"Profesionales de la informática, no clasificados bajos otros epígrafes",2139
"Profesionales de la informática, no clasificados bajos otros epígrafes",2139
"Arquitectos, urbanistas e ingenieros de tránsito",2141
"Arquitectos, urbanistas e ingenieros de tránsito",2141
"Arquitectos, urbanistas e ingenieros de tránsito",2141
Ingenieros civiles,2142
Ingenieros electricístas,2143
Ingenieros electronicistas y de telecomunicaciones,2144
Ingenieros electronicistas y de telecomunicaciones,2144
Ingenieros mecánicos,2145
Ingenieros químicos,2146
Ingenieros de minas y metalúrgicos y afines,2147
Cartógrafos y agrimensores,2148
"Arquitectos, ingenieros y afines, no clasificados bajo otros epígrafes",2149
"Arquitectos, ingenieros y afines, no clasificados bajo otros epígrafes",2149
"Arquitectos, ingenieros y afines, no clasificados bajo otros epígrafes",2149
"Biólogos, botánicos, zoólogos y afines",2211
"Biólogos, botánicos, zoólogos y afines",2211
"Farmacólogos, patólogos y afines",2212
"Farmacólogos, patólogos y afines",2212
"Farmacólogos, patólogos y afines",2212
Agrónomos y afines,2213
Médicos,2221
Médicos,2221
Odontólogos,2222
Veterinarios,2223
Farmacéuticos,2224
"Médicos y profesionales afines (excepto el personal de enfermería y partería), no clasificados bajo otros epígrafes",2229
"Médicos y profesionales afines (excepto el personal de enfermería y partería), no clasificados bajo otros epígrafes",2229
Personal de enfermería y partería de nivel superior,2230
Personal de enfermería y partería de nivel superior,2230
Personal de enfermería y partería de nivel superior,2230
Personal de enfermería y partería de nivel superior,2230
Personal de enfermería y partería de nivel superior,2230
Personal de enfermería y partería de nivel superior,2230
Profesores de universidades y otros establecimientos de la enseñanza superior,2310
Profesores de universidades y otros establecimientos de la enseñanza superior,2310
Profesores de la enseñanza secundaria,2320
Profesores de la enseñanza secundaria,2320
Maestros de nivel superior de la enseñanza primaria,2331
Maestros de nivel superior de la enseñanza preescolar,2332
Maestros e instructores de nivel superior de la enseñanza especial,2340
Especialistas en métodos pedagógicos y material didáctico,2351
Inspectores de la enseñanza,2352
"Otros profesionales de la enseñanza, no clasificados bajo otros epígrafes",2359
"Otros profesionales de la enseñanza, no clasificados bajo otros epígrafes",2359
"Otros profesionales de la enseñanza, no clasificados bajo otros epígrafes",2359
"Otros profesionales de la enseñanza, no clasificados bajo otros epígrafes",2359
"Otros profesionales de la enseñanza, no clasificados bajo otros epígrafes",2359
Contadores,2411
Contadores,2411
Especialistas en políticas y servicios de personal y afines,2412
Especialistas en políticas y servicios de personal y afines,2412
Especialistas en políticas y servicios de personal y afines,2412
"Especialistas en organizacón y administración de empresas y afines, no clasificados bajo otros epígrafes",2419
"Especialistas en organizacón y administración de empresas y afines, no clasificados bajo otros epígrafes",2419
"Especialistas en organizacón y administración de empresas y afines, no clasificados bajo otros epígrafes",2419
"Especialistas en organizacón y administración de empresas y afines, no clasificados bajo otros epígrafes",2419
"Especialistas en organizacón y administración de empresas y afines, no clasificados bajo otros epígrafes",2419
"Especialistas en organizacón y administración de empresas y afines, no clasificados bajo otros epígrafes",2419
"Especialistas en organizacón y administración de empresas y afines, no clasificados bajo otros epígrafes",2419
Abogados,2421
Jueces,2422
"Profesionales del derecho, no clasificados bajo otros epígrafes",2429
Archiveros y conservadores de museos,2431
"Bibliotecarios, documentalistas y afines",2432
Economistas,2441
"Sociólogos, antropólogos y afines",2442
"Filósofos, historiadores y especialistas en ciencias políticas",2443
"Filólogos, traductores e intérpretes",2444
Psicólogos,2445
Profesionales del trabajo social,2446
"Autores, periodistas y otros escritores",2451
"Autores, periodistas y otros escritores",2451
"Escultores, pintores y afines",2452
"Compositores, músicos y cantantes",2453
Coreógrafos y bailarines,2454
"Actores y directores de cine, radio, teatro, televisión y afines",2455
"Actores y directores de cine, radio, teatro, televisión y afines",2455
Sacerdotes de distintas religiones,2460
Técnicos en ciencias físicas y químicas,3111
Técnicos en ingeniería civil,3112
Electrotécnicos,3113
Técnicos en electrónica y telecomunicaciones,3114
Técnicos en electrónica y telecomunicaciones,3114
Técnicos en mecánica y construcción mecánica,3115
Técnicos en química industrial,3116
Técnicos en ingeniería de minas y metalurgia,3117
Delineantes y dibujantes técnicos,3118
Técnicos en ciencias físicas y químicas y en ingeniería no clasificados bajo otros epígrafes,3119
Técnicos en programación informática,3121
Técnicos en programación informática,3121
Técnicos en programación informática,3121
Técnicos en control de equipos informáticos,3122
Técnicos en control de equipos informáticos,3122
Técnicos en control de robots industriales,3123
Fotógrafos y operadores de equipos de grabación de imagen y sonido,3131
Fotógrafos y operadores de equipos de grabación de imagen y sonido,3131
"Operadores de equipos de radiodifusión, televisión y telecomunicaciones",3132
"Operadores de equipos de radiodifusión, televisión y telecomunicaciones",3132
Operadores de aparatos de diagnóstico y tratamientos médicos,3133
Oficiales maquinistas,3141
"Capitanes, oficiales de cubierta y prácticos",3142
Pilotos de aviación y afines,3143
Controladores de tráfico aéreo,3144
Técnicos en seguridad aeronáutica,3145
Inspectores de edificios y de prevención e investigación de incendios,3151
Inspectores de edificios y de prevención e investigación de incendios,3151
Inspectores de seguridad y salud y control de calidad,3152
Inspectores de seguridad y salud y control de calidad,3152
Inspectores de seguridad y salud y control de calidad,3152
Inspectores de seguridad y salud y control de calidad,3152
Inspectores de seguridad y salud y control de calidad,3152
Inspectores de seguridad y salud y control de calidad,3152
Inspectores de seguridad y salud y control de calidad,3152
Técnicos en ciencias biológicas y afines,3211
Técnicos en ciencias biológicas y afines,3211
"Técnicos en agronomía, zootecnia y silvicultura",3212
"Técnicos en agronomía, zootecnia y silvicultura",3212
Consejeros agrícolas y forestales,3213
Practicantes y asistentes médicos,3221
Practicantes y asistentes médicos,3221
Practicantes y asistentes médicos,3221
Higienistas y otro personal sanitario,3222
Higienistas y otro personal sanitario,3222
Técnicos en dietética y nutrición,3223
Técnicos en optometría y ópticos,3224
Técnicos en optometría y ópticos,3224
Dentistas auxiliares y ayudantes de odontología,3225
Fisioterapeutas y afines,3226
Fisioterapeutas y afines,3226
Fisioterapeutas y afines,3226
Fisioterapeutas y afines,3226
Técnicos y asistentes veterinarios,3227
Técnicos y asistentes farmacéuticos,3228
"Profesionales de nivel medio de la medicina moderna y la salud (excepto el personal de enfermería y partería), no clasificados bajo otros epígrafes",3229
"Profesionales de nivel medio de la medicina moderna y la salud (excepto el personal de enfermería y partería), no clasificados bajo otros epígrafes",3229
"Profesionales de nivel medio de la medicina moderna y la salud (excepto el personal de enfermería y partería), no clasificados bajo otros epígrafes",3229
"Profesionales de nivel medio de la medicina moderna y la salud (excepto el personal de enfermería y partería), no clasificados bajo otros epígrafes",3229
"Profesionales de nivel medio de la medicina moderna y la salud (excepto el personal de enfermería y partería), no clasificados bajo otros epígrafes",3229
Personal de enfermería de nivel medio,3231
Personal de partería de nivel medio,3232
Practicantes  de la medicina tradicional,3241
Practicantes  de la medicina tradicional,3241
Curanderos,3242
Maestros de nivel medio de la enseñanza primaria,3310
Maestros de nivel medio de la enseñanza preescolar,3320
Maestros de nivel medio de la enseñanza especial,3330
Otros maestros e instructores de nivel medio,3340
Otros maestros e instructores de nivel medio,3340
Otros maestros e instructores de nivel medio,3340
Otros maestros e instructores de nivel medio,3340
Otros maestros e instructores de nivel medio,3340
Otros maestros e instructores de nivel medio,3340
Otros maestros e instructores de nivel medio,3340
Otros maestros e instructores de nivel medio,3340
"Agentes de bolsa, cambio y otros servicios financieros",3411
"Agentes de bolsa, cambio y otros servicios financieros",3411
Agentes de seguros,3412
Agentes inmobiliarios,3413
Agentes de viajes,3414
Agentes de viajes,3414
Agentes de viajes,3414
Representantes comerciales y técnicos de ventas,3415
Representantes comerciales y técnicos de ventas,3415
Representantes comerciales y técnicos de ventas,3415
Compradores,3416
Tasadores y subastadores,3417
Tasadores y subastadores,3417
"Profesionales de nivel medio en operaciones y comerciales, no clasificados bajo otros epígrafes",3419
Agentes de compras y consignatarios,3421
Declarantes o gestores de aduana,3422
Agentes públicos y privados de colocación y contratistas de mano de obra,3423
"Agentes comerciales y corredores, no clasificados bajo otros epígrafes",3429
Profesionales de nivel medio de servicios administrativos y afines,3431
Profesionales de nivel medio de servicios administrativos y afines,3431
Profesionales de nivel medio de servicios administrativos y afines,3431
Profesionales de nivel medio de servicios administrativos y afines,3431
Profesionales de nivel medio del derecho y servicios legales o afines,3432
Tenedores de libros,3433
"Profesionales de nivel medio de servicios estadísticos, matemáticos y afines",3434
"Profesionales de nivel medio de servicios estadísticos, matemáticos y afines",3434
"Profesionales de nivel medio de servicios de administración, no clasificados bajo otros epígrafes",3439
"Profesionales de nivel medio de servicios de administración, no clasificados bajo otros epígrafes",3439
"Profesionales de nivel medio de servicios de administración, no clasificados bajo otros epígrafes",3439
"Profesionales de nivel medio de servicios de administración, no clasificados bajo otros epígrafes",3439
Agentes de aduana e inspectores de fronteras,3441
Funcionarios del fisco,3442
Funcionarios de servicios de seguridad social,3443
Funcionarios de servicios de expedición de licencias y permisos,3444
"Agentes de las administraciones públicas de aduanas, impuestos y afines, no clasificados bajo otros epígrafes",3449
Inspectores de policía y detectives,3450
Inspectores de policía y detectives,3450
Trabajadores y asistentes sociales de nivel medio,3460
Decoradores y diseñadores,3471
Decoradores y diseñadores,3471
Decoradores y diseñadores,3471
Decoradores y diseñadores,3471
Decoradores y diseñadores,3471
Locutores de radio y televisión y afines,3472
Locutores de radio y televisión y afines,3472
"Músicos, cantantes y bailarines callejeros, de cabaret y afines",3473
"Músicos, cantantes y bailarines callejeros, de cabaret y afines",3473
"Payasos, prestidigitadores, acróbatas y afines",3474
"Atletas, deportistas y afines",3475
"Atletas, deportistas y afines",3475
"Atletas, deportistas y afines",3475
Auxiliares laicos de los cultos,3480
Taquígrafos y mecanógrafos,4111
Taquígrafos y mecanógrafos,4111
Operadores de máquinas de tratamiento de textos y afines,4112
Operadores de máquinas de tratamiento de textos y afines,4112
Operadores de entrada de datos,4113
Operadores de calculadoras,4114
Operadores de calculadoras,4114
Secretarios,4115
Secretarios,4115
Secretarios,4115
Secretarios,4115
Secretarios,4115
Empleados de contabilidad y cálculo de costos,4121
Empleados de contabilidad y cálculo de costos,4121
Empleados de contabilidad y cálculo de costos,4121
Empleados de servicios estadísticos y financieros,4122
Empleados de servicios estadísticos y financieros,4122
Empleados de control de abastecimientos e inventario,4131
